"House Price Index by region; existing own homes; 2010 = 100"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Utrecht (PV)";"2014 1st quarter";"85.5";"1.0";"-0.8";"2412";"-14.9";"34.7"
"Utrecht (PV)";"2014 2nd quarter";"86.3";"0.9";"1.6";"2925";"21.3";"74.0"
"Utrecht (PV)";"2014 3rd quarter";"87.3";"1.2";"3.1";"3550";"21.4";"52.0"
"Utrecht (PV)";"2014 4th quarter";"87.6";"0.3";"3.5";"4377";"23.3";"54.4"
"Utrecht (PV)";"2014";"86.7";"1.9";"1.9";"13264";"53.5";"53.5"
"Utrecht (PV)";"2015 1st quarter";"89.0";"1.6";"4.1";"2928";"-33.1";"21.4"
"Utrecht (PV)";"2015 2nd quarter";"89.1";"0.1";"3.2";"3433";"17.2";"17.4"
"Utrecht (PV)";"2015 3rd quarter";"90.7";"1.8";"3.8";"4398";"28.1";"23.9"
"Utrecht (PV)";"2015 4th quarter";"91.4";"0.8";"4.3";"4641";"5.5";"6.0"
"Utrecht (PV)";"2015";"90.0";"3.9";"3.9";"15400";"16.1";"16.1"
"Utrecht (PV)";"2016 1st quarter";"93.1";"1.9";"4.7";"3792";"-18.3";"29.5"
"Utrecht (PV)";"2016 2nd quarter";"94.2";"1.1";"5.7";"4279";"12.8";"24.6"
"Utrecht (PV)";"2016 3rd quarter";"96.9";"2.9";"6.9";"5199";"21.5";"18.2"
"Utrecht (PV)";"2016 4th quarter";"98.6";"1.8";"7.9";"5020";"-3.4";"8.2"
"Utrecht (PV)";"2016";"95.7";"6.3";"6.3";"18290";"18.8";"18.8"
"Utrecht (PV)";"2017 1st quarter";"101.1";"2.5";"8.6";"4439";"-11.6";"17.1"
"Noord-Holland (PV)";"2010";"100.0";"-2.8";"-2.8";"22690";"2.4";"2.4"
"Noord-Holland (PV)";"2011 1st quarter";"99.8";"-0.1";"0.2";"5172";"-13.0";"0.3"
"Noord-Holland (PV)";"2011 2nd quarter";"99.4";"-0.4";"-1.1";"5455";"5.5";"-3.5"
"Noord-Holland (PV)";"2011 3rd quarter";"99.0";"-0.4";"-1.1";"5615";"2.9";"-5.4"
"Noord-Holland (PV)";"2011 4th quarter";"96.7";"-2.3";"-3.1";"5783";"3.0";"-2.7"
"Noord-Holland (PV)";"2011";"98.7";"-1.3";"-1.3";"22025";"-2.9";"-2.9"
"Noord-Holland (PV)";"2012 1st quarter";"96.2";"-0.6";"-3.6";"4369";"-24.5";"-15.5"
"Noord-Holland (PV)";"2012 2nd quarter";"93.2";"-3.0";"-6.2";"6068";"38.9";"11.2"
"Noord-Holland (PV)";"2012 3rd quarter";"90.4";"-3.0";"-8.6";"4294";"-29.2";"-23.5"
"Noord-Holland (PV)";"2012 4th quarter";"89.5";"-1.0";"-7.4";"6279";"46.2";"8.6"
"Noord-Holland (PV)";"2012";"92.3";"-6.4";"-6.4";"21010";"-4.6";"-4.6"
"Noord-Holland (PV)";"2013 1st quarter";"87.0";"-2.8";"-9.6";"4408";"-29.8";"0.9"
"Noord-Holland (PV)";"2013 2nd quarter";"85.2";"-2.0";"-8.6";"3958";"-10.2";"-34.8"
"Noord-Holland (PV)";"2013 3rd quarter";"85.8";"0.6";"-5.2";"5413";"36.8";"26.1"
"Noord-Holland (PV)";"2013 4th quarter";"85.2";"-0.7";"-4.9";"6579";"21.5";"4.8"
"Noord-Holland (PV)";"2013";"85.8";"-7.1";"-7.1";"20358";"-3.1";"-3.1"
"Noord-Holland (PV)";"2014 1st quarter";"86.7";"1.8";"-0.3";"5651";"-14.1";"28.2"
"Noord-Holland (PV)";"2014 2nd quarter";"87.2";"0.5";"2.3";"6721";"18.9";"69.8"
"Noord-Holland (PV)";"2014 3rd quarter";"89.0";"2.1";"3.8";"7793";"16.0";"44.0"
"Noord-Holland (PV)";"2014 4th quarter";"89.4";"0.5";"5.0";"10060";"29.1";"52.9"
"Noord-Holland (PV)";"2014";"88.1";"2.7";"2.7";"30225";"48.5";"48.5"
"Noord-Holland (PV)";"2015 1st quarter";"90.3";"0.9";"4.1";"6778";"-32.6";"19.9"
"Noord-Holland (PV)";"2015 2nd quarter";"91.9";"1.8";"5.4";"8284";"22.2";"23.3"
"Noord-Holland (PV)";"2015 3rd quarter";"93.9";"2.2";"5.5";"10097";"21.9";"29.6"
"Noord-Holland (PV)";"2015 4th quarter";"94.9";"1.0";"6.1";"10219";"1.2";"1.6"
"Noord-Holland (PV)";"2015";"92.7";"5.3";"5.3";"35378";"17.0";"17.0"
"Noord-Holland (PV)";"2016 1st quarter";"96.7";"2.0";"7.1";"8465";"-17.2";"24.9"
"Noord-Holland (PV)";"2016 2nd quarter";"98.7";"2.0";"7.4";"9364";"10.6";"13.0"
"Noord-Holland (PV)";"2016 3rd quarter";"102.4";"3.8";"9.0";"11167";"19.3";"10.6"
"Noord-Holland (PV)";"2016 4th quarter";"103.6";"1.2";"9.2";"10447";"-6.4";"2.2"
"Noord-Holland (PV)";"2016";"100.4";"8.2";"8.2";"39443";"11.5";"11.5"
"Noord-Holland (PV)";"2017 1st quarter";"106.9";"3.2";"10.5";"9541";"-8.7";"12.7"
"Zuid-Holland (PV)";"2010";"100.0";"-2.2";"-2.2";"27793";"-5.4";"-5.4"
"Zuid-Holland (PV)";"2011 1st quarter";"99.4";"-0.1";"-0.6";"6268";"-16.3";"-1.0"
"Zuid-Holland (PV)";"2011 2nd quarter";"98.8";"-0.6";"-1.4";"6585";"5.1";"-6.8"
"Zuid-Holland (PV)";"2011 3rd quarter";"98.4";"-0.4";"-1.9";"6530";"-0.8";"-5.6"
"Zuid-Holland (PV)";"2011 4th quarter";"96.5";"-2.0";"-3.0";"6945";"6.4";"-7.3"
"Zuid-Holland (PV)";"2011";"98.3";"-1.7";"-1.7";"26328";"-5.3";"-5.3"
"Zuid-Holland (PV)";"2012 1st quarter";"95.0";"-1.6";"-4.4";"5312";"-23.5";"-15.3"
"Zuid-Holland (PV)";"2012 2nd quarter";"93.8";"-1.2";"-5.0";"7363";"38.6";"11.8"
"Zuid-Holland (PV)";"2012 3rd quarter";"89.9";"-4.2";"-8.7";"4899";"-33.5";"-25.0"
"Zuid-Holland (PV)";"2012 4th quarter";"89.0";"-1.0";"-7.7";"7343";"49.9";"5.7"
"Zuid-Holland (PV)";"2012";"91.9";"-6.4";"-6.4";"24917";"-5.4";"-5.4"
"Zuid-Holland (PV)";"2013 1st quarter";"87.2";"-2.0";"-8.2";"5096";"-30.6";"-4.1"
"Zuid-Holland (PV)";"2013 2nd quarter";"85.7";"-1.7";"-8.7";"4683";"-8.1";"-36.4"
"Zuid-Holland (PV)";"2013 3rd quarter";"86.1";"0.5";"-4.3";"6016";"28.5";"22.8"
"Zuid-Holland (PV)";"2013 4th quarter";"86.2";"0.2";"-3.1";"7321";"21.7";"-0.3"
"Zuid-Holland (PV)";"2013";"86.3";"-6.1";"-6.1";"23116";"-7.2";"-7.2"
"Zuid-Holland (PV)";"2014 1st quarter";"86.2";"-0.1";"-1.2";"5971";"-18.4";"17.2"
"Zuid-Holland (PV)";"2014 2nd quarter";"87.2";"1.1";"1.7";"6969";"16.7";"48.8"
"Zuid-Holland (PV)";"2014 3rd quarter";"87.9";"0.9";"2.2";"8119";"16.5";"35.0"
"Zuid-Holland (PV)";"2014 4th quarter";"88.1";"0.2";"2.2";"10210";"25.8";"39.5"
"Zuid-Holland (PV)";"2014";"87.4";"1.2";"1.2";"31269";"35.3";"35.3"
"Zuid-Holland (PV)";"2015 1st quarter";"88.5";"0.5";"2.7";"7427";"-27.3";"24.4"
"Zuid-Holland (PV)";"2015 2nd quarter";"89.3";"0.9";"2.5";"8448";"13.7";"21.2"
"Zuid-Holland (PV)";"2015 3rd quarter";"90.6";"1.4";"3.1";"10488";"24.1";"29.2"
"Zuid-Holland (PV)";"2015 4th quarter";"91.4";"0.9";"3.7";"11135";"6.2";"9.1"
"Zuid-Holland (PV)";"2015";"90.0";"3.0";"3.0";"37498";"19.9";"19.9"
"Zuid-Holland (PV)";"2016 1st quarter";"92.3";"0.9";"4.2";"9338";"-16.1";"25.7"
"Zuid-Holland (PV)";"2016 2nd quarter";"93.6";"1.4";"4.7";"10938";"17.1";"29.5"
"Zuid-Holland (PV)";"2016 3rd quarter";"95.7";"2.3";"5.6";"13025";"19.1";"24.2"
"Zuid-Holland (PV)";"2016 4th quarter";"97.0";"1.3";"6.1";"13211";"1.4";"18.6"
"Zuid-Holland (PV)";"2016";"94.6";"5.2";"5.2";"46512";"24.0";"24.0"
"Zuid-Holland (PV)";"2017 1st quarter";"99.1";"2.2";"7.4";"12390";"-6.2";"32.7"
"Zeeland (PV)";"2010";"100.0";"-2.1";"-2.1";"3254";"-0.2";"-0.2"
"Zeeland (PV)";"2011 1st quarter";"99.0";"-0.1";"-1.7";"742";"-20.1";"5.1"
"Zeeland (PV)";"2011 2nd quarter";"99.5";"0.5";"-0.2";"841";"13.3";"3.6"
"Zeeland (PV)";"2011 3rd quarter";"99.3";"-0.3";"-1.1";"792";"-5.8";"-1.9"
"Zeeland (PV)";"2011 4th quarter";"98.2";"-1.1";"-0.9";"936";"18.2";"0.8"
"Zeeland (PV)";"2011";"99.0";"-1.0";"-1.0";"3311";"1.8";"1.8"
"Zeeland (PV)";"2012 1st quarter";"95.8";"-2.4";"-3.2";"631";"-32.6";"-15.0"
"Zeeland (PV)";"2012 2nd quarter";"94.2";"-1.7";"-5.4";"1083";"71.6";"28.8"
"Zeeland (PV)";"2012 3rd quarter";"92.4";"-1.9";"-7.0";"662";"-38.9";"-16.4"
"Zeeland (PV)";"2012 4th quarter";"93.1";"0.8";"-5.2";"1016";"53.5";"8.5"
"Zeeland (PV)";"2012";"93.9";"-5.2";"-5.2";"3392";"2.4";"2.4"
"Zeeland (PV)";"2013 1st quarter";"91.9";"-1.3";"-4.1";"571";"-43.8";"-9.5"
"Zeeland (PV)";"2013 2nd quarter";"90.8";"-1.2";"-3.6";"752";"31.7";"-30.6"
"Zeeland (PV)";"2013 3rd quarter";"91.5";"0.8";"-0.9";"804";"6.9";"21.5"
"Zeeland (PV)";"2013 4th quarter";"91.1";"-0.4";"-2.2";"1066";"32.6";"4.9"
"Zeeland (PV)";"2013";"91.3";"-2.7";"-2.7";"3193";"-5.9";"-5.9"
"Zeeland (PV)";"2014 1st quarter";"90.7";"-0.4";"-1.3";"784";"-26.5";"37.3"
"Zeeland (PV)";"2014 2nd quarter";"90.5";"-0.2";"-0.3";"879";"12.1";"16.9"
"Zeeland (PV)";"2014 3rd quarter";"90.3";"-0.3";"-1.3";"1021";"16.2";"27.0"
"Zeeland (PV)";"2014 4th quarter";"90.2";"-0.1";"-1.0";"1314";"28.7";"23.3"
"Zeeland (PV)";"2014";"90.4";"-1.0";"-1.0";"3998";"25.2";"25.2"
"Zeeland (PV)";"2015 1st quarter";"90.8";"0.7";"0.2";"802";"-39.0";"2.3"
"Zeeland (PV)";"2015 2nd quarter";"91.8";"1.0";"1.4";"1010";"25.9";"14.9"
"Zeeland (PV)";"2015 3rd quarter";"89.7";"-2.3";"-0.7";"1168";"15.6";"14.4"
"Zeeland (PV)";"2015 4th quarter";"90.8";"1.3";"0.7";"1287";"10.2";"-2.1"
"Zeeland (PV)";"2015";"90.8";"0.4";"0.4";"4267";"6.7";"6.7"
"Zeeland (PV)";"2016 1st quarter";"91.8";"1.1";"1.1";"1054";"-18.1";"31.4"
"Zeeland (PV)";"2016 2nd quarter";"92.5";"0.7";"0.8";"1163";"10.3";"15.1"
"Zeeland (PV)";"2016 3rd quarter";"93.5";"1.1";"4.2";"1404";"20.7";"20.2"
"Zeeland (PV)";"2016 4th quarter";"94.2";"0.8";"3.8";"1485";"5.8";"15.4"
"Zeeland (PV)";"2016";"93.0";"2.4";"2.4";"5106";"19.7";"19.7"
"Zeeland (PV)";"2017 1st quarter";"93.6";"-0.7";"1.9";"1355";"-8.8";"28.6"
"Noord-Brabant (PV)";"2010";"100.0";"-2.4";"-2.4";"17330";"0.8";"0.8"
"Noord-Brabant (PV)";"2011 1st quarter";"97.5";"-1.4";"-3.4";"4028";"-12.4";"6.6"
"Noord-Brabant (PV)";"2011 2nd quarter";"97.9";"0.4";"-2.6";"3954";"-1.8";"-12.6"
"Noord-Brabant (PV)";"2011 3rd quarter";"96.8";"-1.1";"-3.1";"4267";"7.9";"-3.7"
"Noord-Brabant (PV)";"2011 4th quarter";"95.1";"-1.7";"-3.8";"4448";"4.2";"-3.3"
"Noord-Brabant (PV)";"2011";"96.8";"-3.2";"-3.2";"16697";"-3.7";"-3.7"
"Noord-Brabant (PV)";"2012 1st quarter";"93.2";"-2.0";"-4.4";"3391";"-23.8";"-15.8"
"Noord-Brabant (PV)";"2012 2nd quarter";"91.7";"-1.6";"-6.3";"4959";"46.2";"25.4"
"Noord-Brabant (PV)";"2012 3rd quarter";"87.7";"-4.4";"-9.4";"3034";"-38.8";"-28.9"
"Noord-Brabant (PV)";"2012 4th quarter";"86.9";"-0.9";"-8.6";"5199";"71.4";"16.9"
"Noord-Brabant (PV)";"2012";"89.9";"-7.2";"-7.2";"16583";"-0.7";"-0.7"
"Noord-Brabant (PV)";"2013 1st quarter";"84.6";"-2.7";"-9.2";"3220";"-38.1";"-5.0"
"Noord-Brabant (PV)";"2013 2nd quarter";"83.1";"-1.7";"-9.4";"3182";"-1.2";"-35.8"
"Noord-Brabant (PV)";"2013 3rd quarter";"83.0";"-0.1";"-5.3";"4046";"27.2";"33.4"
"Noord-Brabant (PV)";"2013 4th quarter";"82.7";"-0.3";"-4.8";"5235";"29.4";"0.7"
"Noord-Brabant (PV)";"2013";"83.4";"-7.3";"-7.3";"15683";"-5.4";"-5.4"
"Noord-Brabant (PV)";"2014 1st quarter";"82.9";"0.2";"-2.0";"4279";"-18.3";"32.9"
"Noord-Brabant (PV)";"2014 2nd quarter";"83.5";"0.8";"0.5";"4929";"15.2";"54.9"
"Noord-Brabant (PV)";"2014 3rd quarter";"84.3";"0.9";"1.6";"5513";"11.8";"36.3"
"Noord-Brabant (PV)";"2014 4th quarter";"84.1";"-0.3";"1.6";"7565";"37.2";"44.5"
"Noord-Brabant (PV)";"2014";"83.7";"0.4";"0.4";"22286";"42.1";"42.1"
"Noord-Brabant (PV)";"2015 1st quarter";"84.6";"0.6";"2.1";"4966";"-34.4";"16.1"
"Noord-Brabant (PV)";"2015 2nd quarter";"85.2";"0.7";"2.0";"5817";"17.1";"18.0"
"Noord-Brabant (PV)";"2015 3rd quarter";"86.1";"1.1";"2.2";"7257";"24.8";"31.6"
"Noord-Brabant (PV)";"2015 4th quarter";"86.5";"0.4";"2.9";"7264";"0.1";"-4.0"
"Noord-Brabant (PV)";"2015";"85.6";"2.3";"2.3";"25304";"13.5";"13.5"
"Noord-Brabant (PV)";"2016 1st quarter";"87.6";"1.3";"3.6";"5927";"-18.4";"19.4"
"Noord-Brabant (PV)";"2016 2nd quarter";"88.0";"0.4";"3.3";"7181";"21.2";"23.4"
"Noord-Brabant (PV)";"2016 3rd quarter";"89.6";"1.8";"4.0";"8682";"20.9";"19.6"
"Noord-Brabant (PV)";"2016 4th quarter";"90.5";"1.0";"4.6";"8972";"3.3";"23.5"
"Noord-Brabant (PV)";"2016";"88.9";"3.9";"3.9";"30762";"21.6";"21.6"
"Noord-Brabant (PV)";"2017 1st quarter";"91.9";"1.6";"4.9";"8307";"-7.4";"40.2"
"Limburg (PV)";"2010";"100.0";"-2.3";"-2.3";"7658";"-3.3";"-3.3"
"Limburg (PV)";"2011 1st quarter";"99.2";"0.2";"-0.4";"1613";"-26.7";"-5.0"
"Limburg (PV)";"2011 2nd quarter";"98.3";"-0.9";"-2.0";"1828";"13.3";"0.7"
"Limburg (PV)";"2011 3rd quarter";"97.4";"-0.9";"-3.6";"1843";"0.8";"-5.2"
"Limburg (PV)";"2011 4th quarter";"96.3";"-1.2";"-2.8";"2092";"13.5";"-5.0"
"Limburg (PV)";"2011";"97.8";"-2.2";"-2.2";"7376";"-3.7";"-3.7"
"Limburg (PV)";"2012 1st quarter";"94.5";"-1.9";"-4.8";"1382";"-33.9";"-14.3"
"Limburg (PV)";"2012 2nd quarter";"93.2";"-1.4";"-5.2";"2112";"52.8";"15.5"
"Limburg (PV)";"2012 3rd quarter";"90.0";"-3.4";"-7.6";"1541";"-27.0";"-16.4"
"Limburg (PV)";"2012 4th quarter";"89.7";"-0.3";"-6.8";"2523";"63.7";"20.6"
"Limburg (PV)";"2012";"91.8";"-6.1";"-6.1";"7558";"2.5";"2.5"
"Limburg (PV)";"2013 1st quarter";"87.8";"-2.2";"-7.1";"1378";"-45.4";"-0.3"
"Limburg (PV)";"2013 2nd quarter";"85.5";"-2.5";"-8.2";"1391";"0.9";"-34.1"
"Limburg (PV)";"2013 3rd quarter";"86.3";"0.8";"-4.2";"1854";"33.3";"20.3"
"Limburg (PV)";"2013 4th quarter";"86.0";"-0.3";"-4.2";"2339";"26.2";"-7.3"
"Limburg (PV)";"2013";"86.4";"-5.9";"-5.9";"6962";"-7.9";"-7.9"
"Limburg (PV)";"2014 1st quarter";"86.6";"0.7";"-1.3";"1625";"-30.5";"17.9"
"Limburg (PV)";"2014 2nd quarter";"87.2";"0.6";"1.9";"1903";"17.1";"36.8"
"Limburg (PV)";"2014 3rd quarter";"88.0";"0.9";"2.0";"2281";"19.9";"23.0"
"Limburg (PV)";"2014 4th quarter";"87.8";"-0.2";"2.2";"3246";"42.3";"38.8"
"Limburg (PV)";"2014";"87.4";"1.2";"1.2";"9055";"30.1";"30.1"
"Limburg (PV)";"2015 1st quarter";"88.0";"0.1";"1.6";"1808";"-44.3";"11.3"
"Limburg (PV)";"2015 2nd quarter";"88.6";"0.7";"1.6";"2332";"29.0";"22.5"
"Limburg (PV)";"2015 3rd quarter";"90.0";"1.6";"2.3";"2919";"25.2";"28.0"
"Limburg (PV)";"2015 4th quarter";"89.7";"-0.4";"2.1";"3109";"6.5";"-4.2"
"Limburg (PV)";"2015";"89.1";"1.9";"1.9";"10168";"12.3";"12.3"
"Limburg (PV)";"2016 1st quarter";"90.7";"1.2";"3.1";"2281";"-26.6";"26.2"
"Limburg (PV)";"2016 2nd quarter";"92.0";"1.4";"3.8";"2801";"22.8";"20.1"
"Limburg (PV)";"2016 3rd quarter";"93.7";"1.9";"4.1";"3540";"26.4";"21.3"
"Limburg (PV)";"2016 4th quarter";"94.4";"0.7";"5.3";"3739";"5.6";"20.3"
"Limburg (PV)";"2016";"92.7";"4.1";"4.1";"12361";"21.6";"21.6"
"Limburg (PV)";"2017 1st quarter";"95.3";"1.0";"5.1";"3129";"-16.3";"37.2"
"Statistics Netherlands, Kadaster 14-6-2017"
