"House Price Index by region; existing own homes; 2010 = 100"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Groningen (PV)";"2016 4th quarter";"94.0";"0.4";"6.8";"1748";"-4.2";"9.1"
"Groningen (PV)";"2016";"91.6";"4.7";"4.7";"6435";"18.7";"18.7"
"Groningen (PV)";"2017 1st quarter";"94.4";"0.4";"6.1";"1647";"-5.8";"26.3"
"Friesland (PV)";"2010";"100.0";"-0.6";"-0.6";"4720";"1.9";"1.9"
"Friesland (PV)";"2011 1st quarter";"96.9";"-2.0";"-3.7";"1029";"-24.1";"2.5"
"Friesland (PV)";"2011 2nd quarter";"96.3";"-0.6";"-3.9";"1089";"5.8";"-10.1"
"Friesland (PV)";"2011 3rd quarter";"96.1";"-0.2";"-4.3";"1151";"5.7";"0.2"
"Friesland (PV)";"2011 4th quarter";"93.5";"-2.7";"-5.4";"1096";"-4.8";"-19.1"
"Friesland (PV)";"2011";"95.7";"-4.3";"-4.3";"4365";"-7.5";"-7.5"
"Friesland (PV)";"2012 1st quarter";"92.1";"-1.5";"-4.9";"792";"-27.7";"-23.0"
"Friesland (PV)";"2012 2nd quarter";"91.7";"-0.4";"-4.8";"1174";"48.2";"7.8"
"Friesland (PV)";"2012 3rd quarter";"87.9";"-4.1";"-8.5";"829";"-29.4";"-28.0"
"Friesland (PV)";"2012 4th quarter";"86.4";"-1.7";"-7.6";"1236";"49.1";"12.8"
"Friesland (PV)";"2012";"89.6";"-6.4";"-6.4";"4031";"-7.7";"-7.7"
"Friesland (PV)";"2013 1st quarter";"84.9";"-1.8";"-7.9";"765";"-38.1";"-3.4"
"Friesland (PV)";"2013 2nd quarter";"81.7";"-3.7";"-10.9";"829";"8.4";"-29.4"
"Friesland (PV)";"2013 3rd quarter";"82.6";"1.2";"-6.0";"926";"11.7";"11.7"
"Friesland (PV)";"2013 4th quarter";"83.1";"0.5";"-3.9";"1358";"46.7";"9.9"
"Friesland (PV)";"2013";"83.1";"-7.2";"-7.2";"3878";"-3.8";"-3.8"
"Friesland (PV)";"2014 1st quarter";"82.0";"-1.3";"-3.4";"1023";"-24.7";"33.7"
"Friesland (PV)";"2014 2nd quarter";"82.4";"0.5";"0.8";"1314";"28.4";"58.5"
"Friesland (PV)";"2014 3rd quarter";"81.9";"-0.6";"-0.9";"1293";"-1.6";"39.6"
"Friesland (PV)";"2014 4th quarter";"82.0";"0.1";"-1.2";"1813";"40.2";"33.5"
"Friesland (PV)";"2014";"82.1";"-1.2";"-1.2";"5443";"40.4";"40.4"
"Friesland (PV)";"2015 1st quarter";"83.0";"1.1";"1.2";"1130";"-37.7";"10.5"
"Friesland (PV)";"2015 2nd quarter";"83.3";"0.4";"1.1";"1479";"30.9";"12.6"
"Friesland (PV)";"2015 3rd quarter";"83.9";"0.7";"2.4";"1794";"21.3";"38.7"
"Friesland (PV)";"2015 4th quarter";"84.7";"1.0";"3.3";"1874";"4.5";"3.4"
"Friesland (PV)";"2015";"83.7";"2.0";"2.0";"6277";"15.3";"15.3"
"Friesland (PV)";"2016 1st quarter";"85.5";"0.9";"3.1";"1464";"-21.9";"29.6"
"Friesland (PV)";"2016 2nd quarter";"85.4";"-0.1";"2.6";"1847";"26.2";"24.9"
"Friesland (PV)";"2016 3rd quarter";"88.3";"3.3";"5.2";"2134";"15.5";"19.0"
